,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
298,,1510.0,,,1510.0,,,
431,,1930.0,,,1930.0,,,
642,,2710.0,,,2710.0,,,
925,,,,,,,,
1010,,3470.0,,,3470.0,,,
2369,9.0,2210.0,,1.0,2250.0,,,3.0
3458,,3250.0,,,3250.0,,,
4591,5.0,1450.0,,2.0,1730.0,,,1.0
4833,,2330.0,,,2330.0,,,
5262,10.0,3100.0,,2.0,3080.0,,,3.0
5288,7.0,3200.0,,2.0,3310.0,,,3.0
6587,,2160.0,,,2160.0,,,
6617,,2560.0,,,2560.0,,,
6890,,3190.0,,,3190.0,,,
6960,,1920.0,,,1920.0,,,
7103,13.0,3005.0,,2.0,3560.0,,,4.0
7364,,3010.0,,,3010.0,,,
8314,,2300.0,,,2300.0,,,
8449,,2200.0,,,2200.0,,,
8731,9.0,2100.0,,1.0,2070.0,,,2.0
8833,9.0,2500.0,,1.0,1900.0,,,
