,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
232,,2228.0,,,1086.0,638.0,,
516,,2379.0,,,1522.0,117.0,,
547,,2920.0,,,1772.0,1148.0,,
698,,2370.0,,,966.0,756.0,,
879,,,,,,,,
1350,,2332.0,,,786.0,798.0,,
1766,,2564.0,,,1498.0,1066.0,,
1879,,4123.0,,,1773.0,1200.0,,
2144,,1539.0,,,798.0,741.0,,
2196,,,,,,,,
2523,,4306.0,,,2464.0,400.0,,
2824,,832.0,,,832.0,,,
2903,,3049.0,,,1705.0,,,
2931,,1143.0,,,1143.0,,,
3104,,1539.0,,,798.0,741.0,,
3353,,2207.0,,,885.0,692.0,,
3659,,2300.0,,,,,,
3734,,4673.0,,,1689.0,1430.0,,
4147,,,,,,,,
4499,,2438.0,,,1012.0,868.0,,
4601,,,,,,,,
4703,,1985.0,,,1412.0,573.0,,
4830,,3971.0,,,1873.0,1367.0,,
4920,,3311.0,,,1940.0,595.0,,
4974,,2393.0,,,1245.0,1148.0,,
5187,,3839.0,,,1558.0,723.0,,
5400,,,,,,,,
5648,,928.0,,,928.0,,,
5652,,2166.0,,,1083.0,,,
5904,,2352.0,,,964.0,744.0,,
5954,,1662.0,,,1086.0,576.0,,
6083,,1480.0,,,1068.0,412.0,,
6148,,2722.0,,,2282.0,440.0,,
6174,,2124.0,,,1358.0,766.0,,
6264,,1030.0,,,1030.0,,,
6282,,1216.0,,,,,,
6800,,3199.0,,,1334.0,1515.0,,
6888,,3409.0,,,,,,
6956,,832.0,,,832.0,,,
7001,,2047.0,,,1386.0,661.0,,
7208,,1176.0,,,564.0,612.0,,
7213,,1400.0,,,,,,
7818,,928.0,,,928.0,,,
8273,,6147.0,,,2330.0,2606.0,,
8368,,2055.0,,,1608.0,,,
8395,,1559.0,,,798.0,761.0,,
8555,,,,,,,,
8622,,1032.0,,,581.0,451.0,,
8676,,2353.0,,,802.0,917.0,,
8729,,2360.0,,,1327.0,1033.0,,
8862,,928.0,,,928.0,,,
9085,,1763.0,,,1112.0,651.0,,
9142,,2277.0,,,798.0,761.0,,
9156,,1589.0,,,750.0,839.0,,
9229,,2424.0,,,1406.0,1018.0,,
9341,,2958.0,,,988.0,1080.0,,
9818,,2157.0,,,1113.0,1044.0,,
9958,,1176.0,,,564.0,612.0,,
