,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
72,,2411.0,,,2411.0,,,
193,,3042.0,,,3042.0,,,
498,12.0,2050.0,,2.0,2073.0,,,3.0
945,,1888.0,,,1888.0,,,
1115,,2894.0,,,2894.0,,,
1312,,996.0,,,996.0,,,
1388,,,,,,,,
1572,8.0,2100.0,,1.0,2167.0,,,2.0
1604,9.0,3400.0,,2.0,3536.0,,,2.0
1644,,2902.0,,,2902.0,,,
1830,,2015.0,,,2015.0,,,
2002,,2822.0,,,1236.0,1586.0,,
2112,,1979.0,,,1979.0,,,
2314,8.0,1300.0,,1.0,2534.0,,,1.0
2322,14.0,3800.0,,1.0,3209.0,,,2.0
2929,3.0,1552.0,,1.0,1552.0,,,2.0
3098,8.0,3200.0,,2.0,,,,2.0
3347,,1758.0,,,1758.0,,,
3364,,2808.0,,,2808.0,,,
4055,10.0,2200.0,,1.0,2223.0,,,
4067,,1240.0,,,1240.0,,,
4191,,2459.0,,,2459.0,,,
4231,14.0,4200.0,,2.0,4084.0,,,2.0
4354,,2572.0,,,2572.0,,,
4694,,2298.0,,,2298.0,,,
4859,,,,,,,,
5238,,2391.0,,,2391.0,,,
5448,10.0,2100.0,,1.0,2163.0,,,2.0
5490,9.0,1850.0,,1.0,1851.0,,,3.0
5556,,4593.0,,,4593.0,,,
6378,,1962.0,,,1962.0,,,
6551,,,,,,,,
6927,6.0,1932.0,,1.0,1932.0,,,1.0
7281,,2208.0,,,2208.0,,,
7363,,,,,,,,
7806,,3484.0,,,3484.0,,,
8006,,1645.0,,,1645.0,,,
8018,12.0,2100.0,,2.0,2710.0,,,5.0
8024,,1817.0,,,1817.0,,,
8121,,1254.0,,,1254.0,,,
8124,7.0,3150.0,,1.0,3106.0,,,5.0
8164,,2960.0,,,2960.0,,,
8544,4.0,1820.0,,1.0,1800.0,,,2.0
9016,,,,,,,,
9090,12.0,5500.0,,2.0,5149.0,,,5.0
9143,7.0,1600.0,,1.0,1704.0,,,2.0
9155,,1534.0,,,1534.0,,,
9168,,1314.0,,,1314.0,,,
9255,,2093.0,,,2093.0,,,
9688,,2440.0,,,2440.0,,,
9983,12.0,3000.0,,2.0,3068.0,,,2.0
