,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
275,,2027.0,,,2027.0,,,
280,,1743.0,,,702.0,702.0,,
341,,1147.0,,,1147.0,,,
490,,2126.0,,,2126.0,,,
604,,,,,,,,
626,6.0,1264.0,,2.0,498.0,766.0,,
733,,1594.0,,,1594.0,,,
754,9.0,1674.0,,1.0,1673.0,,,2.0
774,,2368.0,,,2368.0,,,
903,,3696.0,,,2508.0,1188.0,,
1608,7.0,2600.0,,3.0,263.0,2160.0,,3.0
1741,6.0,1993.0,,1.0,1948.0,,,3.0
1958,,3230.0,,,1494.0,1736.0,,
2084,,1696.0,,,1696.0,,,
2182,,,,,,,,
2188,,1511.0,,,1511.0,,,
2216,,1157.0,,,1157.0,,,
2300,,1711.0,,,1711.0,,,
2421,,1575.0,,,1575.0,,,
2534,,,,,,,,
2536,,2890.0,,,2890.0,,,
2805,,2580.0,,,1362.0,1218.0,,
2835,,3067.0,,,3067.0,,,
2900,16.0,3750.0,,2.0,1902.0,1363.0,,2.0
3115,,2453.0,,,2453.0,,,
3204,,,,,,,,
3221,,4798.0,,,2105.0,2693.0,,
3394,8.0,2800.0,,1.0,2622.0,,,2.0
3906,,2816.0,,,1028.0,1788.0,,
3930,,1286.0,,,1286.0,,,
4185,,3198.0,,,1300.0,1898.0,,
4686,,,,,,,,
4850,,2610.0,,,1751.0,859.0,,
4944,,1426.0,,,1426.0,,,
5062,,1980.0,,,900.0,580.0,,
5271,,2377.0,,,2377.0,,,
5449,4.0,3300.0,,1.0,3081.0,,,4.0
5485,,1929.0,,,1929.0,,,
5852,,2663.0,,,1553.0,1110.0,,
6233,,1182.0,,,1182.0,,,
6329,,2557.0,,,651.0,1906.0,,
6764,,1276.0,,,1276.0,,,
6809,,1812.0,,,964.0,848.0,,
6887,,2520.0,,,588.0,1932.0,,
7166,,2765.0,,,2071.0,694.0,,
7248,,1949.0,,,1949.0,,,
7643,,1430.0,,,605.0,825.0,,
8139,6.0,1650.0,,2.0,965.0,,,2.0
8201,,1835.0,,,1835.0,,,
8421,,,,,,,,
8478,,2132.0,,,,,,
8519,,2562.0,,,1240.0,1322.0,,
8604,,1959.0,,,1959.0,,,
8693,,2744.0,,,1372.0,1372.0,,
8744,,2220.0,,,1080.0,1140.0,,
8910,,2271.0,,,2271.0,,,
8949,,2896.0,,,1448.0,1448.0,,
9036,2.0,1800.0,,2.0,672.0,792.0,,
9173,,1405.0,,,1216.0,189.0,,
9206,,2589.0,,,1778.0,811.0,,
9308,,2549.0,,,1449.0,1100.0,,
9377,10.0,2400.0,,1.0,2308.0,,,2.0
9488,,1324.0,,,1324.0,,,
9548,,4389.0,,,2176.0,2213.0,,
9605,11.0,2200.0,,1.0,2260.0,,,2.0
9819,,2698.0,,,1122.0,1576.0,,
