,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
281,,,,,,,,
352,,,,,,,,
716,,,,,,,,
865,,,,,,,,
1180,,,,,,,,
1942,,,,,,,,
2064,,,,,,,,
2732,,,,,,,,
3110,,,,,,,,
3227,,,,,,,,
3390,,,,,,,,
3773,,,,,,,,
4035,,3189.0,,,1492.0,1697.0,,
4048,,,,,,,,
4741,,,,,,,,
5214,,,,,,,,
5941,,,,,,,,
6380,,,,,,,,
6723,,,,,,,,
7092,,,,,,,,
7651,,,,,,,,
8193,,,,,,,,
8874,,,,,,,,
9325,,,,,,,,
9684,,,,,,,,
9704,,,,,,,,
9852,,,,,,,,
11201,,,,,,,,
11202,,,,,,,,
11203,,,,,,,,
