,house_num_rooms,area,num_bedrooms,num_floors,area_first,area_second,area_third,num_occupants
54,,,,,,,,
203,,1555.0,,,1555.0,,,
527,,,,,,,,
1199,,,,,,,,
1284,,,,,,,,
1450,,1575.0,,,,,,
1524,,2050.0,,,2050.0,,,
1731,4.0,1555.0,,3.0,,,,2.0
2031,,,,,,,,
2235,,,,,,,,
2354,,2180.0,,,,,,
2412,6.0,1800.0,,4.0,,,,4.0
2606,4.0,1390.0,2.0,3.0,,,,2.0
3687,,,,,,,,
3864,,1464.0,,,,,,
3938,,1120.0,2.0,1.0,1120.0,,,
4083,,,,,,,,
4095,,,,,,,,
4237,,,,,,,,
4329,,,,,,,,
4495,,1087.0,2.0,1.0,1087.0,,,
4761,,1580.0,,,,,,
4934,,1547.0,,,,,,
5009,,1088.0,2.0,1.0,1088.0,,,
5387,,1547.0,,,,,,
5909,1.0,670.0,1.0,1.0,720.0,,,
5938,3.0,1476.0,2.0,3.0,,,,1.0
6152,,,,,,,,
6196,,,,,,,,
6231,,,,,,,,
6268,,,,,,,,
6377,,,,,,,,
6429,,,,,,,,
6497,,2050.0,,,,,,
6547,,1547.0,,,,,,
6689,,,,,,,,
6770,,,,,,,,
7062,4.0,1400.0,,3.0,,,,2.0
7114,,1401.0,2.0,3.0,,,,
7409,,,,,,,,
7422,,2110.0,,,,,,
7639,,,,,,,,
8061,3.0,1600.0,2.0,3.0,,,,2.0
8168,,1452.0,,,,,,
8342,3.0,1401.0,3.0,3.0,,,,3.0
8574,3.0,1400.0,,1.0,,,,3.0
8733,,,,,,,,
8886,,,,,,,,
9197,,,,,,,,
9213,,,,,,,,
9370,,2050.0,,,2050.0,,,
9585,,,,,,,,
9612,,1555.0,,,,,,
9711,,,,,,,,
9775,7.0,2300.0,3.0,1.0,1405.0,,,1.0
9836,,,,,,,,
9995,,,,,,,,
